row_id,skill_name,label,category,min_years,level,source_text
0,Tiếng Anh,required_skill,Soft Skill,,intermediate,Tiếng Anh tương đương 650+ Toeic
0,xác suất thống kê,required_skill,AI/ML/Data,,expert,Hiểu biết sâu về xác suất thống kê
0,toán,preferred_skill,AI/ML/Data,,expert,hiểu sâu về toán là lợi thế
0,mô hình học máy,required_skill,AI/ML/Data,,basic,Hiểu biết về các mô hình học máy
0,quản lý nhóm,required_skill,Soft Skill,,,Có khả năng quản lý nhóm thực hiện các yêu cầu phân tích chuyên sâu
0,phân tích dự đoán,required_skill,AI/ML/Data,,,phân tích chuyên sâu và phân tích dự đoán
0,Python,required_skill,Programming Language,,,"Có kinh nghiệm sử dụng ít nhất một trong các ngôn ngữ Python, R"
0,R,required_skill,Programming Language,,,"Có kinh nghiệm sử dụng ít nhất một trong các ngôn ngữ Python, R"
0,Recommendation System,preferred_skill,AI/ML/Data,,,Ưu tiên ứng viên đã có kinh nghiệm làm về các hệ thống Recommendation System
0,Reinforcement Learning,preferred_skill,AI/ML/Data,,,có sử dụng Reinforcement Learning
1,Automation Tester,required_skill,Testing & QA,3.0,,Có kinh nghiệm >3 năm về lĩnh vực kiểm thử phần mềm vị trí Automation Tester
1,SQL,required_skill,Database,,,Có kinh nghiệm về truy vấn cơ sở dữ liệu SQL hoặc API
1,API,required_skill,Engineering Concepts & Methodologies,,,Có kinh nghiệm về truy vấn cơ sở dữ liệu SQL hoặc API
1,kiểm thử tự động Mobile App,required_skill,Testing & QA,,,Có kinh nghiệm về kiểm thử tự động Mobile App/ web / API / SQL
1,kiểm thử tự động web,required_skill,Testing & QA,,,Có kinh nghiệm về kiểm thử tự động Mobile App/ web / API / SQL
1,kiểm thử tự động API,required_skill,Testing & QA,,,Có kinh nghiệm về kiểm thử tự động Mobile App/ web / API / SQL
1,Jmeter,required_skill,Testing & QA,,,"SQL, Jmeter, Postman, Jenkins, Git tool, Maven"
1,Postman,required_skill,Testing & QA,,,"SQL, Jmeter, Postman, Jenkins, Git tool, Maven"
1,Jenkins,required_skill,Infrastructure & DevOps,,,"SQL, Jmeter, Postman, Jenkins, Git tool, Maven"
1,Git,required_skill,Tool & Platform,,,"Jenkins, Git tool, Maven"
1,Maven,required_skill,Tool & Platform,,,"Jenkins, Git tool, Maven"
1,Java,required_skill,Programming Language,,,Ngôn ngữ: Java
