record_id,annotator_a,annotator_b,skill_name_a,skill_name_b,label_a,label_b,category_a,category_b,error_type,source_text_a,source_text_b
0,llm,human_a,phân tích dự đoán,,required_skill,,AI/ML/Data,,llm_hallucination,phân tích chuyên sâu và phân tích dự đoán,
0,llm,human_a,xác suất thống kê,xác suất thống kê,required_skill,preferred_skill,AI/ML/Data,AI / ML / Data,label_disagreement,Hiểu biết sâu về xác suất thống kê,
1,llm,human_a,kỹ thuật test,,required_skill,,Testing & QA,,llm_hallucination,"các kỹ thuật, công cụ test",
1,llm,human_a,công cụ test,,required_skill,,Testing & QA,,llm_hallucination,"các kỹ thuật, công cụ test",
1,llm,human_a,,công cụ kiểm thử tự động,,preferred_skill,,Testing & QA,llm_omission,,
1,llm,human_a,API,API,required_skill,required_skill,Engineering Concepts & Methodologies,Database,category_disagreement,Có kinh nghiệm về truy vấn cơ sở dữ liệu SQL hoặc API,
1,llm,human_a,Jmeter,Jmeter,required_skill,required_skill,Testing & QA,Tool & Platform,category_disagreement,"SQL, Jmeter, Postman, Jenkins, Git tool, Maven",
1,llm,human_a,Postman,Postman,required_skill,required_skill,Testing & QA,Tool & Platform,category_disagreement,"SQL, Jmeter, Postman, Jenkins, Git tool, Maven",
1,llm,human_a,Jenkins,Jenkins,required_skill,required_skill,Infrastructure & DevOps,Tool & Platform,category_disagreement,"SQL, Jmeter, Postman, Jenkins, Git tool, Maven",
1,llm,human_a,Xray,Xray,required_skill,required_skill,Testing & QA,Tool & Platform,category_disagreement,"phần mềm quản lý lỗi: Redmine, Jira, Xray....",
1,llm,human_a,quy trình kiểm thử,quy trình kiểm thử,required_skill,required_skill,Testing & QA,Engineering Concepts & Methodologies,category_disagreement,"quy trình phát triển phần mềm, quy trình kiểm thử",
1,llm,human_a,Serenity,Serenity,preferred_skill,preferred_skill,Testing & QA,Framework / Library,category_disagreement,"Ưu tiên: o UV làm với Serenity, Karate framework",
1,llm,human_a,Karate framework,Karate,preferred_skill,preferred_skill,Testing & QA,Framework / Library,category_disagreement,"Ưu tiên: o UV làm với Serenity, Karate framework",
1,llm,human_a,công cụ kiểm thử tự động,kiểm thử tự động SQL,preferred_skill,required_skill,Testing & QA,Testing & QA,label_disagreement,hiểu biết về các công cụ kiểm thử tự động/ kiểm thử hiệu năng,
10,llm,human_a,AWS certifications,,preferred_skill,,Other,,llm_hallucination,AWS (preferred with holding cerifications),
10,llm,human_a,Terragrunt,,required_skill,,Infrastructure & DevOps,,llm_hallucination,"IaC tools such as Terraform, Terragrunt, or AWS CloudFormation",
10,llm,human_a,scripting and automation,,required_skill,,Engineering Concepts & Methodologies,,llm_hallucination,scripting and automation capabilities in Bash and Python,
10,llm,human_a,,logging,,required_skill,,Infrastructure & DevOps,llm_omission,,
10,llm,human_a,,monitoring,,required_skill,,Infrastructure & DevOps,llm_omission,,
10,llm,human_a,,analytical mindset,,required_skill,,Soft Skill,llm_omission,,
10,llm,human_a,networking fundamentals,networking fundamentals,required_skill,required_skill,Infrastructure & DevOps,Other,category_disagreement,Grounded knowledge of networking fundamentals,
10,llm,human_a,cybersecurity principles,cybersecurity principles,required_skill,required_skill,Infrastructure & DevOps,Other,category_disagreement,cybersecurity principles,
11,llm,human_a,distributor management,,required_skill,,Domain Knowledge,,llm_hallucination,Solid understanding of Sales & Distribution processes such as distributor management...,
11,llm,human_a,,Sales & Distribution,,required_skill,,Domain Knowledge,llm_omission,,
11,llm,human_a,,analytical,,required_skill,,Soft Skill,llm_omission,,
11,llm,human_a,configuration,configuration,required_skill,required_skill,Other,Engineering Concepts & Methodologies,category_disagreement,"...functional specification (FS/SRS), configuration, testing, UAT...",
11,llm,human_a,testing,testing,required_skill,required_skill,Testing & QA,Engineering Concepts & Methodologies,category_disagreement,"...configuration, testing, UAT, training, data migration...",
11,llm,human_a,UAT,UAT,required_skill,required_skill,Testing & QA,Engineering Concepts & Methodologies,category_disagreement,"...testing, UAT, training, data migration, and post go-live support.",
11,llm,human_a,training,training,required_skill,required_skill,Soft Skill,Other,category_disagreement,"...UAT, training, data migration, and post go-live support.",
11,llm,human_a,data migration,data migration,required_skill,required_skill,Engineering Concepts & Methodologies,Data Engineering & Analytics,category_disagreement,"...training, data migration, and post go-live support.",
11,llm,human_a,post go-live support,post go-live support,required_skill,required_skill,IT Support & Hardware,Engineering Concepts & Methodologies,category_disagreement,"...data migration, and post go-live support.",
11,llm,human_a,documentation,documentation,required_skill,required_skill,Engineering Concepts & Methodologies,Soft Skill,category_disagreement,proficiency in documentation and project tools,
12,llm,human_a,Embedded Software,,required_skill,,Embedded & Firmware,,llm_hallucination,programming for Embedded Software with Debugger Environment,
12,llm,human_a,TPT,,preferred_skill,,Embedded & Firmware,,llm_hallucination,"RTRT), TPT & Integration Testing Tools",
12,llm,human_a,Test Cases,,preferred_skill,,Testing & QA,,llm_hallucination,execution of Test Cases with techniques,
12,llm,human_a,INCA,,preferred_skill,,Embedded & Firmware,,llm_hallucination,"Closed loop LabCar, INCA or similar tools",
12,llm,human_a,MISRA 2012,,preferred_skill,,Other,,llm_hallucination,MISRA 2004 and 2012 Coding guidelines,
12,llm,human_a,,CAN,,preferred_skill,,Embedded & Firmware,llm_omission,,
12,llm,human_a,,Closed loop LabCar,,preferred_skill,,Testing & QA,llm_omission,,
12,llm,human_a,Diagnostic,Diagnostics,required_skill,preferred_skill,Embedded & Firmware,Embedded & Firmware,label_disagreement,Good in CANprotocol/ Diagnostic/ Microcontroller/ sensor/ IO/ Serial,
12,llm,human_a,CANoe,CANoe,required_skill,required_skill,Embedded & Firmware,Tool & Platform,category_disagreement,"tools (CANoe, CANalyser & CAPL programming)",
12,llm,human_a,CANalyser,CANalyser,required_skill,required_skill,Embedded & Firmware,Tool & Platform,category_disagreement,"tools (CANoe, CANalyser & CAPL programming)",
12,llm,human_a,CAPL programming,CAPL programming,required_skill,required_skill,Embedded & Firmware,Programming Language,category_disagreement,"tools (CANoe, CANalyser & CAPL programming)",
12,llm,human_a,AUTOSAR,AUTOSAR,required_skill,required_skill,Other,Embedded & Firmware,category_disagreement,Knowledge and experience in AUTOSAR,
12,llm,human_a,Vehicle Functions,Vehicle Functions,preferred_skill,preferred_skill,Domain Knowledge,Embedded & Firmware,category_disagreement,"SW development in area of CAN, Diagnostics, Vehicle Functions",
