standardized_title,count,percentage,sample_description
Backend Developer,344,10.81,
Business Analyst,269,8.46,
QA Engineer,231,7.26,
Fullstack Developer,189,5.94,
IT Support,168,5.28,
Project Manager,163,5.12,
Mobile Developer,151,4.75,
AI Engineer,150,4.72,
System Administrator,117,3.68,
DevOps Engineer,101,3.18,
Embedded Engineer,87,2.73,
Frontend Developer,85,2.67,
Security Engineer,76,2.39,
Data Analyst,76,2.39,
UI/UX Designer,75,2.36,
Product Owner,73,2.29,
Automation Test Engineer,69,2.17,
Data Engineer,65,2.04,
ERP Consultant,63,1.98,
Game Developer,62,1.95,
Technical Lead,57,1.79,
Network Engineer,54,1.7,
Product Manager,46,1.45,
Software Architect,44,1.38,
Game Designer,37,1.16,
Bridge Engineer,33,1.04,
Data Scientist,28,0.88,
Presales Engineer,22,0.69,
Database Administrator,20,0.63,
Cloud Engineer,19,0.6,
Implementation Specialist,12,0.38,
Machine Learning Engineer,9,0.28,
Scrum Master,9,0.28,
IT Lecturer,9,0.28,
Automation Engineer,6,0.19,
Engineering Manager,5,0.16,
Data Architect,4,0.13,
Software Consultant,4,0.13,
Chief Technology Officer,4,0.13,
Infrastructure Engineer,4,0.13,
Solution Engineer,4,0.13,
Salesforce Developer,4,0.13,
ERP Developer,3,0.09,
Network Security Engineer,3,0.09,
Desktop Application Developer,3,0.09,
IT Auditor,3,0.09,
IT Instructor,3,0.09,
Blockchain Developer,3,0.09,
IT Solutions Consultant,3,0.09,
Security Architect,2,0.06,
IT Account Manager,2,0.06,
Power Platform Developer,2,0.06,
Data Quality Specialist,2,0.06,
Automation Developer,2,0.06,
Project Assistant,2,0.06,
Technical Project Coordinator,2,0.06,
Data Governance Analyst,2,0.06,
Digital Transformation Manager,2,0.06,
Website Administrator,2,0.06,
Solution Consultant,2,0.06,
Enterprise Architect,2,0.06,
System Engineer,2,0.06,
Power Apps Developer,1,0.03,"Develop Canvas Apps and Model-driven Apps on the Microsoft Power Platform. Build and optimize Power Automate flows for business processes and API integrations. Design and manage data using Dataverse or SharePoint Online. Integrate systems with Microsoft 365 and Azure AD. Design complex workflows, multi-level approval processes, and error handling for automated processes."
Software Engineer,1,0.03,"Làm việc cùng với đội phát triển thuộc phòng R&D của tập đoàn Tham gia phát triển dự án của tập đoàn GMO Internet Trao đổi với khách hàng về Spec, confirm trong quá trình phát triển dự án; Phối hợp với các thành viên trong team để thiết kế, triển khai, tối ưu; những chức năng của sản phẩm. Có cơ hội sang Nhật training tại tập đoàn GMO Internet Group (Tokyo hoặc Osaka)."
Product Operations Executive,1,0.03,"1. Test sản phẩm & triển khai • Phối hợp thực hiện test nội bộ (beta) để kiểm tra luồng sử dụng sản phẩm • Kiểm tra dữ liệu hệ thống, backend • Hỗ trợ onboarding và chuyển đổi giai đoạn đầu 2. Vận hành & kiểm soát • Xử lý các hoạt động vận hành hàng ngày • Thực hiện xác minh thông tin khách hàng/đối tác theo quy trình • Theo dõi và đảm bảo các luồng hoạt động diễn ra ổn định • Hỗ trợ xử lý các vấn đề phát sinh và tranh chấp trong quá trình sử dụng 3. Hỗ trợ người dùng & tối ưu trải nghiệm • Là đầu mối hỗ trợ khách hàng (chat, email, vấn đề kỹ thuật cơ bản) • Ghi nhận hành vi khách hàng, tiếp nhận feedback và lỗi hệ thống 4. Cải tiến sản phẩm • Tổng hợp feedback, đề xuất cải tiến • Đại diện ý kiến khách hàng, phối hợp với Product & Tech để tối ưu trải nghiệm (UX/UI)"
Hardware Test Engineer,1,0.03,"•Có hiểu biết về Test sản phẩm wifi và phân tích lỗi sản phẩm,biết phân tích mạch , hỗ trợ RE xử lý sản phẩm lỗi •Phân công công việc theo năng lực và điều kiện làm việc của kỹ sư. •Đánh giá hiệu suất làm việc của kỹ sư •Thiết lập các mối quan hệ với các bộ phận khác trong nhà máy. •Điều tiết mối quan hệ bên trong và ngoài công ty, cấp trên và cấp dưới, xử lý các tình huống khẩn cấp. •Lắng nghe và tiếp thu những đề xuất hợp lý từ các bộ phận liên quan và thúc đẩy các bộ phận liên quan thực hiện. •Giải quyết các vấn đề kỹ thuật NPI •Xử lý các bất thường trong dây chuyền sản xuất và khắc phục các vấn đề trong sản xuất để đảm bảo dây chuyền sản xuất được thông suốt •Chủ trì và thực hiện các dự án kỹ thuật tại nhà máy. •Hoàn thành các nhiệm vụ khác do cấp trên giao"
Digitalization Manager,1,0.03,"- Xây dựng kế hoạch tổng thể phát triển phòng tham mưu cho Ban lãnh đạo phù hợp với mục tiêu phát triển của Công ty; - Trực tiếp làm việc với khách hàng để tư vấn, lập dự toán và thuyết minh, bảo vệ các giải pháp khả thi phù hợp với mục tiêu của Khách hàng đưa ra; - Đề xuất những sáng kiến, giải pháp công nghệ trong lĩnh vực chuyển đổi số/ số hóa nhằm nâng cao hiệu quả tại các dự án; - Lập kế hoạch, phân công công việc các thành viên trong phòng nhằm quản lý, giám sát các dự án số hóa trên phạm vi cả nước đạt hiệu quả tiến độ và chất lượng; - Đầu mối tìm kiếm và phát triển các đội số hóa chất lượng tham mưu cho Ban lãnh đạo lựa chọn. - Báo cáo công việc hàng tuần, tháng và định kỳ theo quy định của từng Dự án (Báo cáo gồm các nội dung: Tiến độ dự án, Chi phí dự án, chất lượng dự án...); - Các công việc khác được phân công."
Python Instructor,1,0.03,"Giảng dạy (80 - 90%) Tham gia đào tạo cho học viên ngôn ngữ, nền tảng lập trình Python theo nội dung đào tạo của Rikkei Academy Xây dựng, phát triển văn hóa đào tạo Tham gia quản lý nhóm học viên, đảm bảo chất lượng đào tạo đạt chuẩn đầu ra Nghiên cứu và xây dựng các gói đào tạo, nội dung giảng dạy (10%) Nghiên cứu và xây dựng các chương trình đào tạo với từng đối tượng Xây dựng hệ thống bài giảng, thực hành, hệ thống test dành cho học viên Lên kế hoạch và xây dựng hệ thống e-learning Thực hiện các công việc khác theo yêu cầu của cán bộ quản lý"
