category,normalized_skill,count
Infrastructure & DevOps,docker,383
Infrastructure & DevOps,aws,339
Infrastructure & DevOps,ci/cd,304
Infrastructure & DevOps,kubernetes,231
Infrastructure & DevOps,azure,197
Infrastructure & DevOps,devops,156
Infrastructure & DevOps,gcp,153
Infrastructure & DevOps,jenkins,128
Infrastructure & DevOps,cloud,116
Infrastructure & DevOps,tcp/ip,92
Infrastructure & DevOps,rabbitmq,87
Infrastructure & DevOps,ci/cd pipelines,83
Infrastructure & DevOps,terraform,80
Infrastructure & DevOps,grafana,76
Infrastructure & DevOps,firewall,71
Infrastructure & DevOps,gitlab ci,69
Infrastructure & DevOps,prometheus,68
Infrastructure & DevOps,github actions,64
Infrastructure & DevOps,dns,60
Infrastructure & DevOps,ansible,58
Infrastructure & DevOps,vmware,54
Infrastructure & DevOps,networking,50
Infrastructure & DevOps,firebase,48
Infrastructure & DevOps,security,48
Infrastructure & DevOps,network,46
Infrastructure & DevOps,bảo mật,45
Infrastructure & DevOps,k8s,43
Infrastructure & DevOps,monitoring,42
Infrastructure & DevOps,mlops,41
Infrastructure & DevOps,containerization,40
Infrastructure & DevOps,dhcp,39
Infrastructure & DevOps,vpn,38
Infrastructure & DevOps,routing,36
Infrastructure & DevOps,elk,32
Infrastructure & DevOps,nginx,32
Infrastructure & DevOps,cloud platforms,31
Infrastructure & DevOps,hệ thống mạng,31
Infrastructure & DevOps,mạng,30
Infrastructure & DevOps,message queue,29
Infrastructure & DevOps,container,28
Infrastructure & DevOps,mạng máy tính,28
Infrastructure & DevOps,vlan,28
Infrastructure & DevOps,devsecops,26
Infrastructure & DevOps,windows server,26
Infrastructure & DevOps,active directory,25
Infrastructure & DevOps,infrastructure as code,25
Infrastructure & DevOps,google cloud,24
Infrastructure & DevOps,waf,24
Infrastructure & DevOps,azure devops,23
Infrastructure & DevOps,s3,23
Infrastructure & DevOps,zabbix,23
Infrastructure & DevOps,cisco,22
Infrastructure & DevOps,load balancing,22
Infrastructure & DevOps,ảo hóa,22
Infrastructure & DevOps,argocd,21
Infrastructure & DevOps,server,21
Infrastructure & DevOps,backup,20
Infrastructure & DevOps,mlflow,20
Infrastructure & DevOps,hyper-v,19
Infrastructure & DevOps,logging,19
Infrastructure & DevOps,sre,19
Infrastructure & DevOps,switching,19
Infrastructure & DevOps,iam,18
Infrastructure & DevOps,jwt,18
Infrastructure & DevOps,ospf,18
Infrastructure & DevOps,vpc,18
Infrastructure & DevOps,bgp,17
Infrastructure & DevOps,eks,17
Infrastructure & DevOps,lan,17
Infrastructure & DevOps,microsoft azure,17
Infrastructure & DevOps,storage,17
Infrastructure & DevOps,wan,17
Infrastructure & DevOps,ci/cd pipeline,16
Infrastructure & DevOps,cloud computing,16
Infrastructure & DevOps,cloud security,16
Infrastructure & DevOps,ec2,16
Infrastructure & DevOps,quản trị hệ thống,16
Infrastructure & DevOps,siem,16
Infrastructure & DevOps,wifi,16
Infrastructure & DevOps,apache,15
Infrastructure & DevOps,bảo mật hệ thống,15
Infrastructure & DevOps,cloud infrastructure,15
Infrastructure & DevOps,datadog,15
Infrastructure & DevOps,elk stack,15
Infrastructure & DevOps,iac,15
Infrastructure & DevOps,oauth2,15
Infrastructure & DevOps,router,15
Infrastructure & DevOps,switch,15
Infrastructure & DevOps,an toàn thông tin,14
Infrastructure & DevOps,automation,14
Infrastructure & DevOps,cloudformation,14
Infrastructure & DevOps,fortinet,14
Infrastructure & DevOps,helm,14
Infrastructure & DevOps,lambda,14
Infrastructure & DevOps,openstack,14
Infrastructure & DevOps,san,14
Infrastructure & DevOps,splunk,14
Infrastructure & DevOps,virtualization,14
Infrastructure & DevOps,api gateway,13
Infrastructure & DevOps,bảo mật thông tin,13
Infrastructure & DevOps,containers,13
Infrastructure & DevOps,dlp,13
Infrastructure & DevOps,infrastructure,13
Infrastructure & DevOps,load balancer,13
Infrastructure & DevOps,mqtt,13
Infrastructure & DevOps,máy chủ,13
Infrastructure & DevOps,mạng lan,13
Infrastructure & DevOps,observability,13
Infrastructure & DevOps,system,13
Infrastructure & DevOps,ecs,12
Infrastructure & DevOps,firewalls,12
Infrastructure & DevOps,serverless,12
Infrastructure & DevOps,cybersecurity,11
Infrastructure & DevOps,gitops,11
Infrastructure & DevOps,hybrid cloud,11
Infrastructure & DevOps,ips,11
Infrastructure & DevOps,juniper,11
Infrastructure & DevOps,nas,11
Infrastructure & DevOps,network security,11
Infrastructure & DevOps,openshift,11
Infrastructure & DevOps,phân tích log,11
Infrastructure & DevOps,system administration,11
Infrastructure & DevOps,ad,10
Infrastructure & DevOps,application security,10
Infrastructure & DevOps,continuous integration,10
Infrastructure & DevOps,disaster recovery,10
Infrastructure & DevOps,endpoint security,10
Infrastructure & DevOps,information security,10
Infrastructure & DevOps,prtg,10
Infrastructure & DevOps,rds,10
Infrastructure & DevOps,an ninh mạng,9
Infrastructure & DevOps,container orchestration,9
Infrastructure & DevOps,domain,9
Infrastructure & DevOps,dr,9
Infrastructure & DevOps,ethernet,9
Infrastructure & DevOps,gitlab ci/cd,9
Infrastructure & DevOps,ha,9
Infrastructure & DevOps,haproxy,9
Infrastructure & DevOps,ids/ips,9
Infrastructure & DevOps,lan/wan,9
Infrastructure & DevOps,linux server,9
Infrastructure & DevOps,message broker,9
Infrastructure & DevOps,palo alto,9
Infrastructure & DevOps,private cloud,9
Infrastructure & DevOps,quản trị mạng,9
Infrastructure & DevOps,security best practices,9
Infrastructure & DevOps,sentry,9
Infrastructure & DevOps,system admin,9
Infrastructure & DevOps,system engineer,9
Infrastructure & DevOps,vmware vsphere,9
Infrastructure & DevOps,authentication,8
Infrastructure & DevOps,cloudwatch,8
