url,job_title,company,location,salary,experience,education,level,employment_type,industry,required_skills,preferred_skills,specialization,job_description,requirement
https://itviec.com/it-jobs/02-back-end-developer-golang-postgresql-aws-cong-ty-tnhh-ampacs-international-1844,"02 Back-end Developer (Golang, PostgreSQL, AWS)",CÔNG TY TNHH AMPACS INTERNATIONAL,"473 Dien Bien Phu street (194 Golden building), Thanh My Tay, Ho Chi Minh","1,000 - 2,000 USD","Agora, Orbweb, P2P Streaming, WebRTC.
Familiarity with AWS services, Kubernetes.
Experience with camera systems, video streaming, or IoT real-time applications.
Familiarity with Vue.js, Flutter or fullstack development.
Ability to work in a flexible, hybrid, and friendly environment.",,,,Manufacturing and Engineering,"Golang, PostgreSql, AWS, Backend Developer, Software Products and Web Services","Responsibilities:
Develop and maintain microservices using Golang, gRPC, AWS
Implement RESTful API
Implement and manage PostgreSQL databases
Collaborate with cross-functional Firmware and Mobile App teams to define, design, and ship new features
Troubleshoot, debug, and upgrade existing systems",Backend Developer,"We are looking for a talented Golang developer to join our startup team, which is focused on building a cutting-edge IOT, IP camera system for the Vietnam, US market. The team is powered by Ampacs International company and consists of experienced professionals who have previously worked at Hubble Motorola.
You will:
Develop, scale, and optimize backend services using Golang.
Design and build internal APIs using gRPC or REST.
Work in a hybrid communication system using both traditional APIs and asynchronous protocols like MQTT.
Apply architectural patterns such as Domain-Driven Design (DDD) and MVC (Model-View-Controller).
Handle real-time data from camera devices, transmitted via P2P, Agora, Orbweb, WebRTC and messaging services like MQTT, RabbitMQ.
Deploy services in a cloud-native environment (Kubernetes) and optimize performance with Redis, PostgreSQL, and caching layers.","1+ years of experience in Golang backend development.
Solid understanding of gRPC and REST API design.
Familiarity with microservices, DDD, and MVC.
Strong knowledge of PostgreSQL or similar relational databases.
Experience with MQTT brokers, , RabbitMQ, Redis.
Proactive, growth-oriented mindset, and strong system thinking.
Hands-on experience with high-performance, high-availability systems."
https://itviec.com/it-jobs/02-mobile-app-developer-flutter-cong-ty-tnhh-ampacs-international-3034,02 Mobile App Developer (Flutter),CÔNG TY TNHH AMPACS INTERNATIONAL,"473 Dien Bien Phu street (194 Golden building), Thanh My Tay, Ho Chi Minh","1,000 - 1,500 USD","* Integrate APIs (RESTful, WebSocket, etc.)
* Maintain and enhance existing projects
* Debug and fix issues during development
* Write clean, maintainable, and scalable code following best practices
* Strong knowledge of Dart and Object-Oriented Programming (OOP)
* Familiar with Git
* Basic understanding of mobile UI/UX principles
* Ability to debug and optimize app performance
Nice to Have
* Firebase (Authentication, Firestore, Push Notifications)
* MQTT, WebSocket, or real-time data handling
* Bluetooth
* Native development (Java/Kotlin/Swift)
* AI Model for Mobile is a plus",,,,Manufacturing and Engineering,"Flutter, Swift, Kotlin, Java, Mobile Application Developer, Software Products and Web Services","Responsibilities
* Develop and maintain mobile applications using Flutter (Android & iOS)
* Collaborate with Backend and UI/UX teams to build high-quality products
* Implement UI based on design tools (Figma, Adobe XD, etc.)",Mobile Application Developer,"We are building a modern IoT and IP camera platform for the Vietnam and US markets. The mobile team works closely with the backend and device teams to deliver real-time features for smart camera systems, including live streaming, device management, notifications, and cloud-based services.

Our applications communicate with backend services through REST/gRPC APIs and real-time technologies such as MQTT, WebSocket, and WebRTC. The team focuses on performance, scalability, and delivering a smooth user experience across Android and iOS platforms.

You will collaborate with experienced engineers working on cloud-native systems, real-time communication, and smart device ecosystems.",
https://itviec.com/it-jobs/03-flutter-mobile-apps-developer-dart-android-ios-shs-chung-khoan-sai-gon-ha-noi-2152,"03 Flutter Mobile Apps Developer (Dart, Android, iOS)",SHS | Chứng khoán Sài Gòn - Hà Nội,"Số 43 Phố Lý Thường Kiệt, Cua Nam, Ha Noi",15 - 50m,,,,,Financial Services,"Flutter, Android, iOS, Dart, Mobile Apps, Mobile Application Developer, Securities & Investment","Thành thạo
Flutter (Dart)
, có kinh nghiệm phát triển ứng dụng thực tế, đã publish lên App Store / CH Play là lợi thế.
Hiểu về kiến trúc ứng dụng mobile (BLoC, Provider, Riverpod hoặc tương đương).
Kinh nghiệm làm việc với RESTful API, socket/websocket, local DB (Hive/SQLite).
Có hiểu biết về bảo mật ứng dụng (JWT, mã hóa, chống reverse engineering…).
Ưu tiên ứng viên đã từng làm việc trong lĩnh vực tài chính – chứng khoán, hoặc ứng dụng có realtime high-load.
Tư duy sản phẩm, quan tâm đến trải nghiệm người dùng.
Chủ động, trách nhiệm cao, làm việc nhóm tốt.
Có khả năng tiếp thu nhanh công nghệ và thích nghi với thay đổi.",Mobile Application Developer,"Thành thạo Flutter (Dart), có kinh nghiệm phát triển ứng dụng thực tế, đã publish lên App Store / CH Play là lợi thế.
Hiểu về kiến trúc ứng dụng mobile (BLoC, Provider, Riverpod hoặc tương đương).
Kinh nghiệm làm việc với RESTful API, socket/websocket, local DB (Hive/SQLite).
Có hiểu biết về bảo mật ứng dụng (JWT, mã hóa, chống reverse engineering…).
Ưu tiên ứng viên đã từng làm việc trong lĩnh vực tài chính – chứng khoán, hoặc ứng dụng có realtime high-load.
Tư duy sản phẩm, quan tâm đến trải nghiệm người dùng.
Chủ động, trách nhiệm cao, làm việc nhóm tốt.
Có khả năng tiếp thu nhanh công nghệ và thích nghi với thay đổi.",
https://itviec.com/it-jobs/03-java-backend-developer-spring-sql-shs-chung-khoan-sai-gon-ha-noi-1309,"03 Java Backend Developer (Spring, SQL)",SHS | Chứng khoán Sài Gòn - Hà Nội,"Số 43 Phố Lý Thường Kiệt, Cua Nam, Ha Noi",15 - 50m,,,,,Financial Services,"Java, Database, SQL, Oracle, Microservices, Spring, Backend Developer, Securities & Investment","Có từ
02 năm kinh nghiệm
trở lên
Thành thạo ngôn ngữ lập trình back-end:
Java, Java SpringBoot
hoặc tương đương
Hiểu kiến trúc microservices, RESTful API, xử lý concurrency
Có kinh nghiệm làm việc với cơ sở dữ liệu quan hệ (Oracle, MS SQL, PostgreSQL,MariaDB…) và không quan hệ (Mongo DB…), có kinh nghiệm làm việc với CSDL TimesTen DB, TimeScaleDB là một lợi thế.
Ưu tiên hiểu nghiệp vụ chứng khoán hoặc đã từng làm trong lĩnh vực tài chính, ngân hàng
Cầu tiến, chủ động, tinh thần đồng đội cao
Sẵn sàng học hỏi và cải tiến công nghệ
Làm việc tốt trong môi trường Agile/Scrum",Backend Developer,"Phát triển và tối ưu các API/dịch vụ back-end phục vụ giao dịch chứng khoán, tài khoản, tiền, dữ liệu thị trường và các công việc lập trình khác theo phân công.
Đảm bảo hiệu năng cao, phản hồi thời gian thực và tuân thủ yêu cầu bảo mật.
Tích hợp hệ thống với các nền tảng bên trong (core trading, CRM...) và bên ngoài (ngân hàng, đối tác API...).
Phối hợp cùng team Agile (BA, tester, front-end) để triển khai tính năng theo sprint.
Bảo trì, nâng cấp hệ thống và hỗ trợ triển khai CI/CD, logging, monitoring.",
https://itviec.com/it-jobs/03-java-kotlin-developers-all-level-english-topicus-vietnam-3031,"03 Java/Kotlin Developers (All level, English)",Topicus Vietnam,"106 Nguyen Van Troi Street, Phu Nhuan, Ho Chi Minh",Thỏa thuận,,,,,Software Products and Web Services,"Java, AWS, PostgreSql, Spring Boot, English, Kotlin, Backend Developer, Software Products and Web Services","1-5+ years of experience in Kotlin or Java using Spring Boot.
Hands-on experience with PostgreSQL.
Understanding of Microservices architecture, Domain-Driven Design (DDD), and event-driven architecture using AWS queuing.
Experience with unit testing (Jest) and integration testing (Cypress).
Experience using GitHub Actions for CI/CD.
Strong problem-solving skills and good English communication in an international working environment.
Nice-to-have
Experience with Angular, Nx monorepo, Module Federation or other modern front-end frameworks and willing to be Fullstack.
Experience working with Docker, AWS, Kubernetes.
Experience with monitoring tools such as Datadog.",Backend Developer,"About Us
At Topicus, we believe IT should serve society. From healthcare and education to finance, our solutions empower millions of people daily by turning complex challenges into user-friendly platforms. We don’t just build software; we increase self-reliance and reduce vulnerability for citizens worldwide.
With a team of over 1,500+ ""Topicans"" across Southeast Asia (Vietnam & Thailand) and Europe (the Netherlands, Romania, Portugal, and Iceland), we are constantly expanding our horizons. Our ambition reaches far beyond Europe, driven by a shared mission to make a meaningful difference.

About the Role
You will contribute to our digital consultation platform that allows patients to securely contact their GP online. Through the platform, patients can describe symptoms, share measurements (such as blood pressure or glucose levels), and receive medical advice without always needing a physical visit. It’s fully integrated with regional health systems and GP information systems, helping healthcare providers work more efficiently and focus more on patient care.
Key Responsibilities
Develop backend services using Kotlin/Java + Spring Boot.
Implement microservices and event-driven architecture using AWS queuing services.
Apply Domain-Driven Design concepts into system design.
Ensure software quality through unit testing & integration testing.
Work with CI/CD pipelines via Github Actions.
Collaborate with DevOps for deployments on AWS, Docker, Kubernetes.
Collaborate with the front-end team and contribute to features with Angular.
Build reusable Angular components using Nx monorepo setup.
Work with Module Federation to build scalable frontend architecture.",
https://itviec.com/it-jobs/03-tester-manual-tester-automation-test-qa-qc-shs-chung-khoan-sai-gon-ha-noi-1602,"03 Tester (Manual Tester, Automation Test, QA QC)",SHS | Chứng khoán Sài Gòn - Hà Nội,"Số 43 Phố Lý Thường Kiệt, Cua Nam, Ha Noi",15 - 50m,,,,,Financial Services,"Tester, Scrum, Automation Test, QA QC, TestRail, Jira, Manual Tester, Securities & Investment","Có kinh nghiệm kiểm thử phần mềm
tối thiểu 01 năm
, ưu tiên trong lĩnh vực tài chính, ngân hàng, chứng khoán.
Nắm vững quy trình kiểm thử phần mềm, có khả năng viết test case rõ ràng, logic.
Thành thạo các công cụ quản lý kiểm thử và bugs (JIRA, TestRail, Redmine, v.v.).
Kỹ năng phân tích yêu cầu tốt, khả năng giao tiếp và làm việc nhóm hiệu quả. Đã có kinh nghiệm làm việc theo mô hình agile/scrum
Có kinh nghiệm làm việc với các đơn vị third party là một lợi thế.
Ưu tiên có hiểu biết về kiểm thử tự động, hiệu năng, bảo mật.",Manual Tester,"Thực hiện kiểm thử phần mềm, đảm bảo chất lượng trước khi triển khai.
Đánh giá và kiểm soát chất lượng sản phẩm từ đơn vị outsource.
Xây dựng test plan, quản lý lỗi và tài liệu kiểm thử.
Phối hợp với các bộ phận và đối tác trong quá trình kiểm thử và triển khai.",
https://itviec.com/it-jobs/03-ui-ux-desginer-photoshop-illustrator-figma-shs-chung-khoan-sai-gon-ha-noi-5227,"03 UI-UX Desginer (Photoshop, Illustrator, Figma)",SHS | Chứng khoán Sài Gòn - Hà Nội,"Số 43 Phố Lý Thường Kiệt, Cua Nam, Ha Noi",15 - 50m,,,,,Financial Services,"Design, HTML, Illustrator, Adobe Photoshop, Figma, UI-UX, UX/UI Designer, Securities & Investment","Thành thạo các công cụ thiết kế: Adobe Photoshop, Illustrator, Figma (hoặc tương đương)
Có kiến thức về: Typography, màu sắc, bố cục, UI/UX (là lợi thế nếu làm sản phẩm số)
Có khả năng thiết kế cho nhiều nền tảng (web, mobile, social).
Hiểu cơ bản về in ấn (nếu làm thiết kế offline).
Biết sử dụng After Effects, Premiere (làm video/motion là lợi thế).
Có kinh nghiệm thiết kế, vẽ minh họa trên 2 năm.
Hiểu về HTML/CSS cơ bản là lợi thế
Sáng tạo, có gu thẩm mỹ tốt.
Kỹ năng giao tiếp và làm việc nhóm.
Quản lý thời gian tốt, đảm bảo deadline.
Tiếp nhận và xử lý feedback hiệu quả.",UX/UI Designer,"Thiết kế các ấn phẩm truyền thông: banner, poster, social media, website, landing page…
Xây dựng ý tưởng thiết kế dựa trên yêu cầu từ Marketing/Product.
Phối hợp với team nội dung, marketing, PO và dev để triển khai sản phẩm.
Đảm bảo tính nhất quán về nhận diện thương hiệu (brand guideline).
Chỉnh sửa, tối ưu thiết kế theo feedback từ khách hàng hoặc nội bộ.
Cập nhật xu hướng thiết kế mới để nâng cao chất lượng sản phẩm.",
https://itviec.com/it-jobs/04-senior-fullstack-dev-golang-java-nodejs-ios-rontech-1029,"04 Senior Fullstack Dev (Golang, Java, NodeJS, IOS)",RONTECH,"Tầng 1, Tòa nhà HSC Building, Số 162B Điện Biên Phủ, Phường Xuân Hòa, Xuan Hoa, Ho Chi Minh",Thỏa thuận từ 28 triệu,,,,,IT Services and IT Consulting,"Golang, NodeJS, iOS, Android, ReactJS, Python, Fullstack Developer, IT Services and IT Consulting",,Fullstack Developer,"THÔNG TIN CHUNG/ GENERAL INFORMATION
Tên vị trí /
Position:
Senior Developer
Phòng ban/
Department:
Kỹ thuật (Engineering)
Báo cáo cho/
Report to:
Tech Lead / Sub Lead
Số lượng/
Headcount:
4
Cấp bậc/
Level:
Senior
MỤC TIÊU CÔNG VIỆC/
JOB PURPOSE
Phát triển các tính năng backend, frontend và mobile cho sản phẩm MDM, đảm bảo code chất lượng cao, hiệu năng tốt và bảo mật. Đóng góp vào việc xây dựng sản phẩm MDM cạnh tranh trên thị trường Việt Nam.
Develop backend, frontend, and mobile features for Mobile Device Management (MDM) products, ensuring high-quality code, performance, and security. Contribute to building a competitive MDM product in the Vietnamese market.
TRÁCH NHIỆM CHÍNH/
KEY RESPONSIBILITIES
Phát triển backend services: API quản lý thiết bị, policy engine, command queue
Develop backend services including device management APIs, policy engines, and command queues.
Xây dựng admin console (web dashboard) cho quản trị viên MDM
Build web dashboards (Admin Consoles) for MDM administrators.
Phát triển mobile agent app trên Android và/hoặc iOS cho thiết bị được quản lý
Develop mobile agent applications on Android and/or iOS for managed devices.
Triển khai các tính năng MDM: remote lock/wipe, kiosk mode, app blacklist/whitelist
Implement MDM features such as remote lock/wipe, kiosk mode, and app blacklisting/whitelisting.
Viết unit tests và integration tests, đảm bảo code coverage theo yêu cầu
Write unit and integration tests to ensure code coverage meets requirements.
Tham gia code review, đóng góp ý kiến cải thiện kiến trúc và quy trình
Participate in code reviews and contribute to architectural and procedural improvements.
Fix bugs, optimize performance và xử lý technical debt
Fix bugs, optimize performance, and resolve technical debt.
Cập nhật kiến thức về Android Enterprise, Apple MDM protocol, SCEP/DEP
Stay updated with Android Enterprise, Apple MDM protocol, and SCEP/DEP","Học vấn:
Cử nhân CNTT, Khoa học máy tính hoặc tương đương
Education:
Bachelor’s degree in IT, Computer Science, or equivalent.
Kinh nghiệm:
3-5 năm kinh nghiệm phát triển phần mềm. Ưu tiên có kinh nghiệm mobile development
Experience:
3-5 years of experience in software development. Prior experience in mobile development is preferred.
Backend: Golang, Java, Node.js/Python, RESTful API, SQL/NoSQL databases
Frontend: React.js/Vue.js, TypeScript, responsive design
Mobile: Android (Kotlin/Java) or iOS (Swift), React Native is a plus
Cloud: AWS cơ bản (EC2, S3, Lambda), Firebase Cloud Messaging
Tools: Git, Docker, CI/CD, Agile/Scrum methodology
Kỹ năng mềm
Soft Skills
Tự chủ trong công việc, chủ động tìm giải pháp
Tinh thần học hỏi, cập nhật công nghệ mới
Làm việc nhóm tốt, sẵn sàng hỗ trợ đồng đội
Kỹ năng giao tiếp Tiếng Anh
Self-reliance: High level of autonomy and proactive problem-solving.
Growth Mindset: Eagerness to learn and stay updated with new technologies.
Teamwork: Strong collaboration skills and a willingness to support teammates.
English communication skill.
KPI ĐO LƯỜNG HIỆU QUẢ/ KEY PERFORMANCE INDICATORS (KPIs)
KPI 1: Hoàn thành ≥ 90% story points được assign trong sprint
Complete ≥  90% of assigned story points within a sprint.
KPI 2: Code coverage ≥ 80% cho code mới
Maintain code coverage ≥ 80% for new code.
KPI 3: Số lượng bugs từ code cá nhân < 3/sprint
Keep individual bug count below 3 per sprint.
KPI 4: PR được chấp thuận trong vòng 24 giờ
Ensure Pull Requests (PRs) are approved within 24 hours.
CÔNG CỤ SỬ DỤNG/ TOOLSTACK
Cursor Pro + GitHub Copilot — AI-assisted coding
Claude Pro — Debug, code generation, learning
GitHub Team — Source control, pull requests
Jira — Task management, sprint tracking
Postman — API testing and documentation
Docker — Development environment
BrowserStack — Cross-browser/device testing
Figma — Design specs and assets"
https://itviec.com/it-jobs/05-senior-lead-product-manager-fintech-m_service-momo-1707,05 Senior/Lead Product Manager ( Fintech),M_Service (MoMo),"6th Floor, Phu My Hung Tower, 08 Hoang Van Thai Str, Tan Mỹ Ward, Ho Chi Minh",Thỏa thuận,"3+ year experience
in positions related to product owner, technical business analyst, or software producer;
Experience in developing growth hack features is a plus;
Good documentation and presentation skills;
Good understanding of business model(s) of any fields;
Excellent analytical and problem-solving skills, with a data-driven approach to decision-making.
Essential skills:
Customer empathy;
Requirements elicitation; Critical thinking
Skilled in utilizing wireframing tools such as Figma;
Excellent communication skills and the capacity to convey complex technical concepts to a diverse audience;
Strong time management abilities;
Technical knowledge is a plus;
Financial knowledge is a plus;
Personal characteristics:
Continuous learner and open-minded;
Results-oriented;
Strong work ethic;
Positive attitude.",,,,Financial Services,"Product Management, English, Team Management, Product Owner, Business Analysis, UI-UX, E-commerce, Financial Services",,Product Owner,"Conduct market research, customer interviews, and surveys to identify customer segmentation and journey.
Work closely with the business and design teams to create wireframes, UI designs, user flows, and define system requirements.
Collaborate with the development team during sprint planning to ensure clear requirements, and work together to successfully implement new features.
Define product metrics and work with the data analysis team to create visualizations of the product health dashboard and reports.
Mentor team members and provide guidance and support as needed.
Develop and drive the product vision and strategy, aligning it with overall product vision and business objectives.
Effectively communicate product updates, roadmap, and performance to stakeholders and leadership, addressing their concerns and incorporating feedback into product iterations.
Establish strong relationships with internal and external stakeholders, representing the voice of the product and fostering collaboration for mutual success.","Bachelor’s degree in business, engineering, or related field;
Technical education background is a plus;"
https://itviec.com/it-jobs/05-system-admin-linux-vietnix-4942,05 System Admin (Linux),Vietnix,"265 Hồng Lạc, Bay Hien, Ho Chi Minh - Fresher Accepted",Thỏa thuận,,,,,Network and Infrastructure,"System Admin, Nginx, MySQL, PHP, SQL, Systems Engineer / Administrator, IT Services and IT Consulting","Độ tuổi: < 25 tuổi
Tốt nghiệp đại học/cao đẳng chuyên ngành Công nghệ thông tin, Mạng máy tính, An ninh mạng, Quản trị hệ thống (kèm theo bảng điểm).
Sử dụng thành thạo hệ điều hành Linux.
Có chứng chỉ LPI 1, LPI 2 hoặc có kiến thức tương đương LPI 1, LPI 2.
Có chứng chỉ CCNA hoặc có kiến thức tương đương CCNA.
Am hiểu về các services như Apache, Nginx, Mysql, Php, SQL Server.
Nắm vững 1 ngôn ngữ lập trình bất kỳ (bash, python, php,..).
Năng động, có trách nhiệm với công việc.
Giao tiếp tốt, trung thực, phát âm rõ ràng.
Nhiệt tình, nhanh nhạy trong công việc, có khả năng chịu được áp lực công việc.
Có khả năng nghiên cứu độc lập, đọc hiểu tài liệu tiếng Anh tốt.",Systems Engineer / Administrator,"Mô tả công việc
Tính chất công việc: Theo ca được phân công. Ngày 3 ca làm việc: 8h00’ - 16h00’, 16h00’ - 24h00’, 00h00’ - 8h00’.
Chịu trách nhiệm hỗ trợ khắc phục sự cố cho khách hàng.
Quản trị hệ thống Hosting Cpanel, DirectAdmin, aaPanel.
Quản trị máy chủ trên hệ điều hành Linux, Windows Server.
Quản trị các máy ảo trên nền ảo hóa Type 1 như Proxmox, VMware ESXi.
Quản trị hệ thống firewall chống tấn công DoS/DDoS.
Quản trị hệ thống Web Server, Mail Server.
Tham gia phát triển các công nghệ/công cụ phục vụ cho công việc, các dự án về triển khai và quản trị hệ thống theo yêu cầu.",
