final_canonical,dominant_category,total_count,n_raw_variants,n_required,n_preferred,sample_variants
Domain Knowledge Other,Domain Knowledge,1292,1133,638,654,AML|cấu trúc bài thi (IELTS/TOEIC…)|giảng dạy ngôn ngữ Anh|Game 3D|game 3D
english,Soft Skill,1242,64,1040,202,tiếng Anh|đọc hiểu tài liệu kỹ thuật tiếng Anh|Tiếng Anh|đọc tài liệu tiếng Anh|English
communication,Soft Skill,1211,12,1190,21,giao tiếp|Giao tiếp|communication skills|communication|Communication
Tool & Platform Other,Tool & Platform,1088,842,739,349,Airtable|Teams|Blender|Elementor|Aconex
Infrastructure & DevOps Other,Infrastructure & DevOps,1041,832,795,246,Site Reliability Engineering|QoS|Kibana|LLMOps|SD-WAN
Engineering Concepts & Methodologies Other,Engineering Concepts & Methodologies,1021,867,842,179,Kaizen|Lean|lean|Webhook|gỡ lỗi
teamwork,Soft Skill,923,41,914,9,phối hợp theo nhóm|làm việc nhóm|Làm việc nhóm|Teamwork|teamwork
problem solving,Soft Skill,798,23,784,14,Problem Solving|phân tích vấn đề|problem-solving|phân tích và giải quyết vấn đề|problem-solving skills
Framework / Library Other,Framework / Library,557,420,407,150,STL|.NET 8|.net 8|Three.js|ViewModel
python,Programming Language,546,2,443,103,Python|python
AI/ML/Data Other,AI/ML/Data,538,429,402,136,AI/ML solutions|mô hình thống kê|GPT-4|CNNs|semantic search
Other Other,Other,534,422,179,355,MCITP|CKAD|CDPSE|CDMP Practitioner|CCSA
agile,Engineering Concepts & Methodologies,494,10,367,127,Agile|agile|Agile/Scrum|agile scrum|Agile Scrum
logic thinking,Soft Skill,472,28,467,5,tư duy logic|Tư duy logic|tư duy Logic|tư duy/logic|Logical thinking
sql,Database,456,2,394,62,SQL|sql
java,Programming Language,452,9,389,63,Java|Java Core|JAVA|java|Java 8+
git,Tool & Platform,425,3,381,44,Git|git|GIT
ci cd,Infrastructure & DevOps,420,10,293,127,CI/CD|CI/CD pipelines|CI/CD pipeline|GitLab CI/CD|CI/CD Pipeline
Soft Skill Other,Soft Skill,420,358,368,52,ngữ pháp|truyền cảm hứng|đào tạo nội bộ|Tiếng Hoa|tiếng Hoa
Testing & QA Other,Testing & QA,416,344,336,80,SAST|Risk-based Testing|risk-based testing|White Box|white-box
restful api,Engineering Concepts & Methodologies,387,22,377,10,REST API|RESTful API|RESTful APIs|REST APIs|API RESTful
docker,Infrastructure & DevOps,384,4,230,154,Docker|docker|DOCKER|Docker Compos
aws,Infrastructure & DevOps,352,9,199,153,AWS|Aws cloud|AWS Cloud|Amazon Web Service|Amazon Web Services
javascript,Programming Language,344,14,306,38,Javascript|JavaScript|JS|js|JavaScript (ES6+)
microservices,Engineering Concepts & Methodologies,312,33,229,83,kiến trúc microservices|microservices architecture|kiến trúc Microservices|Micro services|Kiến trúc Microservices
Embedded & Firmware Other,Embedded & Firmware,310,262,237,73,CANalyzer|driver development|Driver development|thiết kế mạch PCB|thiết kế PCB
postgresql,Database,305,13,275,30,Postgres|PostgreSQL|POSTGRESQL|Postgre|Postgresql
reactjs,Framework / Library,298,15,231,67,React|ReactJS|Reactjs|React.js|React js
mysql,Database,292,4,269,23,MySQL|mysql|Mysql|MySql
analytical,Soft Skill,289,17,286,3,phân tích|Phân tích|analytical & logical thinking|analysis|analytical and problem-solving
software development,Engineering Concepts & Methodologies,288,35,256,32,quy trình phát triển phần mềm|Quy trình phát triển phần mềm|phát triển phần mềm|Software Engineering|software development
kubernetes,Infrastructure & DevOps,282,9,172,110,K8s|Kubernetes|k8s|Kubernete|K8S
jira,Tool & Platform,274,3,228,46,Jira|JIRA|jira
Data Engineering & Analytics Other,Data Engineering & Analytics,267,194,187,80,kudu|Kudu|Trino|Data Product|HDFS
work independently,Soft Skill,252,5,251,1,làm việc độc lập|work independently|Làm việc độc lập|work independent|working independently
scrum,Engineering Concepts & Methodologies,249,10,181,68,Scrum|SCRUM|Agile Process|Agile development processes|scrum
time management,Soft Skill,249,19,245,4,lập kế hoạch|quản lý thời gian|quản lý deadline|Lập kế hoạch|Time Management
Design & UX Other,Design & UX,240,195,181,59,"Flat Design|flat design|game element|game mechanic|xây dựng, tùy biến UI"
html,Programming Language,232,7,203,29,HTML|Html|Html5|HTML5|HTML/CSS
linux,Tool & Platform,229,5,194,35,Linux|linux|Linux command line|linux command|LINUX
azure,Infrastructure & DevOps,222,4,131,91,Azure|Microsoft Azure|Azure Cloud|azure
css,Programming Language,214,5,187,27,CSS|Css|Css3|CSS3|css
networking,Infrastructure & DevOps,202,18,184,18,networking|Network|Networking|network|mạng máy tính
oracle,Database,200,3,171,29,Oracle Database|Oracle|oracle
sql server,Database,193,17,174,19,SQL Server|MS SQL|SQL SERVER|SQL server|SQL-Server
gcp,Infrastructure & DevOps,186,5,100,86,GCP|Google Cloud|Google Cloud Platform (GCP)|Google Cloud Platform|Google cloud
c#,Programming Language,185,5,163,22,C#|C#.NET|C# .NET|C# .net|C#.net
ai,AI/ML/Data,181,3,126,55,AI|trí tuệ nhân tạo|Ai
api,Engineering Concepts & Methodologies,181,2,150,31,API|APIs
security,Infrastructure & DevOps,181,23,132,49,an ninh bảo mật|security|Security|bảo mật hệ thống|an toàn thông tin
figma,Tool & Platform,180,2,156,24,Figma|figma
project management,Soft Skill,180,29,159,21,quản lý dự án|Quản lý dự án|Quản lý Dự án|quản trị dự án|project management
business analysis,Engineering Concepts & Methodologies,180,11,167,13,phân tích nghiệp vụ|BA|Phân tích nghiệp vụ|kỹ năng BA|business analysis
mongodb,Database,179,5,151,28,MongoDB|mongodb|Mongodb|Mongo DB|MONGODB
banking,Domain Knowledge,175,10,61,114,ngân hàng|banking|Banking|Ngân hàng|Bank
typescript,Programming Language,175,4,153,22,TypeScript|Typescript|typescript|Typescripts
net,Framework / Library,174,15,149,25,.NET|.Net|.NET Core|.Net Framework|.NET Framework
Database Other,Database,173,137,143,30,My SQL|Neo4j|IBM DB2|JSONB|Firestore
IT Support & Hardware Other,IT Support & Hardware,173,146,139,34,máy in|sửa chữa điện thoại|PC|hỗ trợ người dùng nội bộ|Lenovo
erp,Domain Knowledge,169,2,83,86,ERP|ERP systems
japanese,Soft Skill,163,7,104,59,Tiếng Nhật|tiếng Nhật|Japanese|Tiếng nhật|Japanese language
oop,Engineering Concepts & Methodologies,162,2,159,3,OOP|Object-Oriented Design (OOD)
excel,Tool & Platform,159,3,145,14,Excel|excel|MS Excel
data analysis,Data Engineering & Analytics,158,24,126,32,data analysis|Data analysis|Data Analytics|Data Analysis|Analytics
devops,Infrastructure & DevOps,156,4,112,44,DevOps|Devops|devops|DevOPs
design patterns,Engineering Concepts & Methodologies,154,6,145,9,Design Patterns|Design patterns|design patterns|design pattern|Design Pattern
kafka,Data Engineering & Analytics,153,2,101,52,Kafka|kafka
